fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
17/12/2021;Burgos;56782;216;5122;820;9059;42.383333,-3.666667
17/12/2021;LeÇün;56880;344;5833;1247;24089;42.666667,-6.0
17/12/2021;Segovia;22712;239;2079;386;40004;41.166667,-4.0
17/12/2021;Çvila;19380;151;2049;401;5019;40.616092,-4.929031
17/12/2021;Salamanca;42990;75;4468;902;37274;40.833333,-6.0
17/12/2021;Soria;13388;80;1444;300;42173;41.666667,-2.666667
17/12/2021;Zamora;19841;146;2255;470;49275;41.75,-6.0
17/12/2021;Valladolid;76316;805;8464;1313;47186;41.583333,-4.666667
17/12/2021;Palencia;26882;125;2605;509;34120;42.432128,-4.520647
16/12/2021;Burgos;56566;273;5113;818;9059;42.383333,-3.666667
16/12/2021;Palencia;26757;156;2603;509;34120;42.432128,-4.520647
16/12/2021;Salamanca;42914;215;4466;901;37274;40.833333,-6.0
16/12/2021;Zamora;19696;74;2252;470;49275;41.75,-6.0
16/12/2021;Çvila;19229;135;2046;399;5019;40.616092,-4.929031
16/12/2021;LeÇün;56537;344;5825;1245;24089;42.666667,-6.0
16/12/2021;Valladolid;75510;708;8448;1311;47186;41.583333,-4.666667
16/12/2021;Segovia;22473;130;2079;386;40004;41.166667,-4.0
16/12/2021;Soria;13308;85;1444;300;42173;41.666667,-2.666667
15/12/2021;Çvila;19094;97;2045;399;5019;40.616092,-4.929031
15/12/2021;LeÇün;56194;390;5819;1243;24089;42.666667,-6.0
15/12/2021;Salamanca;42699;247;4466;901;37274;40.833333,-6.0
15/12/2021;Valladolid;74803;635;8437;1309;47186;41.583333,-4.666667
15/12/2021;Zamora;19622;115;2246;470;49275;41.75,-6.0
15/12/2021;Burgos;56293;168;5110;817;9059;42.383333,-3.666667
15/12/2021;Segovia;22343;108;2079;386;40004;41.166667,-4.0
15/12/2021;Palencia;26601;95;2600;509;34120;42.432128,-4.520647
15/12/2021;Soria;13223;75;1444;300;42173;41.666667,-2.666667
14/12/2021;Segovia;22237;87;2079;386;40004;41.166667,-4.0
14/12/2021;Soria;13148;40;1444;300;42173;41.666667,-2.666667
14/12/2021;Valladolid;74168;494;8426;1308;47186;41.583333,-4.666667
14/12/2021;Palencia;26506;158;2599;509;34120;42.432128,-4.520647
14/12/2021;LeÇün;55804;250;5813;1243;24089;42.666667,-6.0
14/12/2021;Salamanca;42452;132;4458;901;37274;40.833333,-6.0
14/12/2021;Burgos;56120;186;5100;816;9059;42.383333,-3.666667
14/12/2021;Çvila;18997;99;2042;398;5019;40.616092,-4.929031
14/12/2021;Zamora;19508;137;2242;470;49275;41.75,-6.0
13/12/2021;Çvila;18896;66;2040;398;5019;40.616092,-4.929031
13/12/2021;Burgos;55934;161;5097;816;9059;42.383333,-3.666667
13/12/2021;Palencia;26348;62;2596;509;34120;42.432128,-4.520647
13/12/2021;Zamora;19372;20;2239;470;49275;41.75,-6.0
13/12/2021;Salamanca;42320;54;4456;901;37274;40.833333,-6.0
13/12/2021;Soria;13108;12;1442;299;42173;41.666667,-2.666667
13/12/2021;Valladolid;73674;204;8412;1308;47186;41.583333,-4.666667
13/12/2021;LeÇün;55555;179;5802;1241;24089;42.666667,-6.0
13/12/2021;Segovia;22150;58;2079;386;40004;41.166667,-4.0
12/12/2021;Salamanca;42249;71;4454;900;37274;40.833333,-6.0
12/12/2021;Valladolid;73435;300;8409;1306;47186;41.583333,-4.666667
12/12/2021;Çvila;18823;80;2038;398;5019;40.616092,-4.929031
12/12/2021;LeÇün;55339;176;5799;1239;24089;42.666667,-6.0
12/12/2021;Soria;13095;57;1440;297;42173;41.666667,-2.666667
